iter	F1	Logloss
0	0.6763818159	0.6791433954
1	0.6655013747	0.6704411693
2	0.6660687326	0.6645923744
3	0.6664299687	0.6530485845
4	0.668289493	0.6495421518
5	0.6694813865	0.6437343372
6	0.6702821741	0.6401525593
7	0.676222643	0.6314794811
8	0.6824608751	0.6291329703
9	0.6859722667	0.6263821314
10	0.6842844683	0.6244400333
11	0.6859432764	0.6213766733
12	0.6914062178	0.6136433996
13	0.6886114921	0.6095029716
14	0.688791236	0.6084823761
15	0.6898428225	0.6044712587
16	0.6918008499	0.6034275354
17	0.6912276439	0.6028250148
18	0.6934027939	0.5980676043
19	0.693267437	0.5975376542
20	0.6947146794	0.5967164711
21	0.695923702	0.5961049324
22	0.6960457458	0.5954627326
23	0.692320921	0.5949185155
24	0.6934689233	0.5944417635
25	0.6987367822	0.592191688
26	0.6998625286	0.5915151212
27	0.6990975987	0.590265708
28	0.6983975202	0.5873024579
29	0.699481537	0.5866408136
30	0.7023995585	0.5860481315
31	0.7029330671	0.5833433057
32	0.7044774983	0.5826376231
33	0.7045629628	0.5822163626
34	0.7056456374	0.5816183111
35	0.7044186243	0.5789180435
36	0.7060486165	0.5782606928
37	0.7044128767	0.5773291471
38	0.7056152795	0.5761143774
39	0.705584817	0.575159898
40	0.704573717	0.5747341031
41	0.7037910255	0.57445261
42	0.7042555958	0.574100482
43	0.7055514726	0.573588255
44	0.705984492	0.5731637701
45	0.7065045638	0.5725091136
46	0.7057787144	0.5723423656
47	0.7060382882	0.5711387486
48	0.7081617491	0.5699521862
49	0.708218595	0.5692311015
