iter	Passed	Remaining
0	6	309
1	12	300
2	19	313
3	28	322
4	35	316
5	40	299
6	48	297
7	55	291
8	63	288
9	71	284
10	78	277
11	85	271
12	94	267
13	101	260
14	109	254
15	116	248
16	124	241
17	131	233
18	139	227
19	146	219
20	154	213
21	161	205
22	168	197
23	176	191
24	183	183
25	189	174
26	196	167
27	202	159
28	210	152
29	216	144
30	223	136
31	230	129
32	237	122
33	244	115
34	251	107
35	258	100
36	265	93
37	271	85
38	278	78
39	285	71
40	292	64
41	297	56
42	303	49
43	308	42
44	314	34
45	319	27
46	325	20
47	330	13
48	336	6
49	341	0
