,index,name,uri,site,hash,min,max,currency
0,1,Ведущий разработчик баз данных и аналитических систем,https://krasnogorsk.hh.ru/vacancy/37436274?query=ML,hh.ru,6dff9185944ce386dbbb7c659a2f87606d83df25,,,
1,2,Computer Vision Engineer (C++/Python),https://krasnogorsk.hh.ru/vacancy/37313645?query=ML,hh.ru,3836a0ed03a8e0b009f216bd593fc96b8e9fd21b,170000,280000,руб.
2,3,ML Engineer,https://krasnogorsk.hh.ru/vacancy/37447358?query=ML,hh.ru,40dab36d0e3f3e420a875ca045a1bb8b7f780429,,,
3,4,Data Engineer (Python),https://krasnogorsk.hh.ru/vacancy/36991105?query=ML,hh.ru,3ad5d50b04a3dbe7fb57cc604def5148ec6f9a6f,90000,150000,руб.
4,5,Python разработчик,https://krasnogorsk.hh.ru/vacancy/37005696?query=ML,hh.ru,15219c6496b8c55083919cceb48d6c6c5c7a5663,150000,220000,руб.
5,6,Data Scientist,https://krasnogorsk.hh.ru/vacancy/37200010?query=ML,hh.ru,4198aa7d9532c9fc0edaf9fd2007fc5866d47216,,,
6,7,Senior data scientist,https://krasnogorsk.hh.ru/vacancy/37371627?query=ML,hh.ru,e5d0a0db606698adde6fcbc6c67f8382ed8f43ce,,,
7,8,Тестировщик ПО,https://krasnogorsk.hh.ru/vacancy/37023484?query=ML,hh.ru,b5b359f1c6bd9b72f763efbd39492a2e4a44278e,80000,130000,руб.
8,9,Junior Distributed Algorithm Developer/intern,https://krasnogorsk.hh.ru/vacancy/37197172?query=ML,hh.ru,d84cc7471310e17314510ed0c367467133c04bed,,,
9,10,Data scientist,https://krasnogorsk.hh.ru/vacancy/36877389?query=ML,hh.ru,a6f96e9305368cbfbac26db83c6f6bffcd7ee5fb,150000,,руб.
10,11,"Senior Backend Developer (Python, PostgreSQL)",https://krasnogorsk.hh.ru/vacancy/37030619?query=ML,hh.ru,f3ffe6956be0c7bf103136f979cdbdf1697a4a9d,160000,220000,руб.
11,12,Senior Business Development Manager/Channel Manager,https://krasnogorsk.hh.ru/vacancy/36943881?query=ML,hh.ru,4e318be2b77b76a7458053e91ca9b4ef7225e09a,180000,,руб.
12,13,Senior image enhancement algorithm researcher,https://krasnogorsk.hh.ru/vacancy/37037798?query=ML,hh.ru,3e2853fcd9e16d766e97a5977a91a29c34ad559e,,,
13,14,Senior QA-специалист / Начинающий QA-менеджер,https://krasnogorsk.hh.ru/vacancy/37435928?query=ML,hh.ru,232fc750c217872d4901f14b0d2bb0f61935b892,,,
14,15,Разработчик C++ (Computer Vision),https://krasnogorsk.hh.ru/vacancy/36954592?query=ML,hh.ru,8199283b10da51b69bf9e94174e41245b76ea40a,,,
